"Device Name","WEATHER - 2406601"
"Device Model","5500L"
"Serial Number","2406601"
"FORMATTED DATE_TIME","Temperature","Wet Bulb Temp","Relative Humidity","Barometric Pressure","Altitude","Station Pressure","Wind Speed","Heat Index","Dew Point","Density Altitude","Crosswind","Headwind","Compass Magnetic Direction","Compass True Direction","Wind Chill","Data Type","Record name","Start time","Duration (H:M:S)","Location description","Location address","Location coordinates","Notes"
"YYYY-MM-DD HH:MM:SS","°F","°F","%","inHg","ft","inHg","mph","°F","°F","ft","mph","mph","Deg","Deg","°F"
"2023-09-15 02:52:09 PM","77.6","61.7","40.8","29.29","581","29.29","0.0","75.4","51.9","2086","--","--","--","--","77.5","session"
"2023-09-15 02:52:14 PM","78.3","62.1","40.1","29.29","577","29.29","0.0","76.3","52.1","2131","--","--","--","--","78.3","session"
"2023-09-15 02:52:19 PM","78.8","62.1","39.4","29.29","581","29.29","0.0","76.5","52.0","2156","--","--","--","--","78.6","session"
"2023-09-15 02:52:24 PM","78.6","61.9","38.9","29.29","576","29.30","0.0","76.5","51.5","2146","--","--","--","--","78.6","session"
"2023-09-15 02:52:29 PM","78.2","61.3","38.4","29.29","577","29.30","0.0","75.7","50.8","2114","--","--","--","--","78.1","session"
"2023-09-15 02:52:34 PM","78.1","61.2","38.0","29.30","576","29.30","0.0","75.7","50.5","2101","--","--","--","--","78.1","session"
"2023-09-15 02:52:39 PM","77.7","60.8","37.8","29.29","577","29.30","0.0","75.0","50.0","2076","--","--","--","--","77.5","session"
"2023-09-15 02:52:44 PM","77.9","61.2","38.3","29.29","581","29.29","0.0","75.6","50.5","2094","--","--","--","--","77.9","session"
"2023-09-15 02:52:49 PM","76.8","60.4","38.7","29.29","581","29.29","0.0","74.5","49.8","2024","--","--","--","--","76.8","session"
"2023-09-15 02:53:18 PM","75.3","58.4","38.5","29.29","577","29.29","0.0","72.0","47.4","1851","--","--","--","--","74.3","session"
"2023-09-15 02:53:19 PM","71.7","57.5","42.1","29.28","585","29.29","0.0","70.2","47.4","1691","--","--","--","--","71.6","session"
"2023-09-15 02:53:24 PM","72.0","58.1","43.5","29.28","585","29.28","0.0","70.7","48.6","1723","--","--","--","--","72.0","session"
"2023-09-15 02:53:29 PM","72.4","59.0","45.2","29.28","592","29.28","0.0","71.1","50.0","1762","--","--","--","--","72.3","session"
"2023-09-15 02:53:34 PM","72.8","59.5","46.3","29.28","589","29.28","0.0","71.4","51.0","1789","--","--","--","--","72.7","session"
"2023-09-15 02:53:40 PM","73.1","59.9","46.8","29.28","589","29.28","0.0","71.8","51.6","1819","--","--","--","--","73.0","session"
"2023-09-15 02:53:44 PM","73.4","60.2","47.2","29.28","589","29.28","0.0","72.0","52.0","1829","--","--","--","--","73.2","session"
"2023-09-15 02:53:49 PM","72.9","59.9","47.5","29.28","589","29.28","0.0","71.6","51.8","1799","--","--","--","--","72.9","session"
"2023-09-15 02:53:55 PM","72.3","59.3","47.3","29.28","594","29.28","0.0","71.1","51.1","1762","--","--","--","--","72.1","session"
"2023-09-15 02:53:59 PM","71.7","58.8","47.1","29.28","594","29.28","0.0","70.5","50.5","1723","--","--","--","--","71.6","session"
"2023-09-15 02:54:05 PM","71.5","58.8","47.4","29.27","600","29.27","0.0","70.3","50.5","1715","--","--","--","--","71.4","session"
"2023-09-15 02:54:09 PM","71.8","59.0","47.8","29.27","600","29.27","0.0","70.9","51.0","1738","--","--","--","--","71.8","session"
"2023-09-15 02:54:14 PM","72.2","59.5","48.2","29.27","600","29.27","0.0","71.2","51.5","1765","--","--","--","--","72.1","session"
"2023-09-15 02:54:20 PM","72.5","60.1","48.7","29.27","597","29.27","0.0","71.4","52.1","1789","--","--","--","--","72.3","session"
"2023-09-15 02:54:24 PM","72.7","60.2","48.9","29.27","600","29.27","0.0","71.6","52.4","1802","--","--","--","--","72.5","session"
"2023-09-15 02:54:29 PM","72.7","60.2","48.7","29.27","602","29.27","0.0","71.6","52.3","1804","--","--","--","--","72.5","session"
"2023-09-15 02:54:34 PM","72.3","59.5","48.1","29.26","605","29.26","0.0","71.2","51.6","1784","--","--","--","--","72.3","session"
"2023-09-15 02:54:46 PM","72.4","59.2","47.5","29.26","608","29.26","0.0","70.9","50.9","1787","--","--","--","--","72.0","session"
"2023-09-15 02:54:49 PM","72.1","59.2","47.3","29.26","612","29.26","0.0","70.9","50.9","1770","--","--","--","--","72.0","session"
"2023-09-15 02:54:54 PM","72.2","59.5","47.6","29.26","612","29.26","0.0","71.2","51.2","1787","--","--","--","--","72.1","session"
"2023-09-15 02:54:59 PM","72.7","60.2","49.0","29.26","614","29.26","0.0","71.6","52.4","1821","--","--","--","--","72.7","session"
"2023-09-15 02:55:04 PM","72.7","60.8","51.2","29.26","612","29.26","0.0","71.8","53.7","1831","--","--","--","--","72.7","session"
"2023-09-15 02:55:09 PM","72.1","60.4","52.0","29.26","614","29.26","0.0","71.2","53.5","1789","--","--","--","--","72.0","session"
"2023-09-15 02:55:14 PM","71.5","59.9","51.3","29.25","621","29.25","0.0","70.7","52.5","1747","--","--","--","--","71.4","session"
"2023-09-15 02:55:19 PM","71.2","59.3","50.4","29.25","625","29.25","0.0","70.3","51.8","1733","--","--","--","--","71.1","session"
"2023-09-15 02:55:24 PM","71.5","59.5","50.1","29.24","625","29.24","0.0","70.7","51.9","1757","--","--","--","--","71.4","session"
"2023-09-15 02:55:29 PM","71.7","59.9","50.6","29.24","630","29.24","0.0","70.9","52.4","1780","--","--","--","--","71.6","session"
"2023-09-15 02:55:34 PM","71.5","59.7","50.7","29.23","634","29.23","0.0","70.7","52.3","1770","--","--","--","--","71.4","session"
"2023-09-15 02:55:40 PM","71.1","59.2","50.2","29.23","639","29.23","0.0","70.3","51.6","1743","--","--","--","--","71.1","session"
"2023-09-15 02:55:44 PM","71.2","59.2","49.8","29.23","639","29.23","0.0","70.2","51.5","1750","--","--","--","--","71.1","session"
"2023-09-15 02:55:50 PM","71.4","59.5","50.2","29.23","639","29.23","0.0","70.5","51.9","1765","--","--","--","--","71.2","session"
"2023-09-15 02:55:54 PM","71.7","60.1","51.3","29.23","637","29.23","0.0","70.9","52.7","1787","--","--","--","--","71.6","session"
"2023-09-15 02:55:59 PM","71.6","60.2","52.1","29.23","642","29.23","0.0","70.9","53.1","1794","--","--","--","--","71.6","session"
"2023-09-15 02:56:04 PM","71.7","60.2","52.2","29.22","645","29.22","0.0","70.9","53.2","1799","--","--","--","--","71.6","session"
"2023-09-15 02:56:09 PM","71.9","60.4","52.0","29.22","650","29.22","0.0","71.1","53.3","1819","--","--","--","--","71.8","session"
"2023-09-15 02:56:14 PM","72.3","60.4","51.4","29.22","650","29.22","0.0","71.6","53.4","1849","--","--","--","--","72.3","session"
"2023-09-15 02:56:19 PM","72.7","60.6","50.7","29.22","650","29.22","0.0","71.8","53.3","1873","--","--","--","--","72.5","session"
"2023-09-15 02:56:24 PM","72.9","60.8","50.6","29.22","653","29.22","0.0","72.0","53.5","1890","--","--","--","--","72.9","session"
"2023-09-15 02:56:29 PM","73.2","61.2","50.8","29.22","650","29.22","0.0","72.1","53.9","1910","--","--","--","--","73.0","session"
"2023-09-15 02:56:34 PM","73.3","61.5","51.7","29.21","653","29.22","0.0","72.3","54.5","1920","--","--","--","--","73.2","session"
